NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO,CENARIO
B115,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.0,0.604,0.004,0.0,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B22,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.23,0.828,0.228,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B20,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.23,0.828,0.228,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B18,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.23,0.828,0.228,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B16,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.02,0.618,0.038,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B14,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.02,0.618,0.038,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B12,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.02,0.618,0.038,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B10,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.02,0.618,0.038,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B8,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.0,0.603,0.003,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B6,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.0,0.603,0.003,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B4,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.0,0.603,0.003,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B2,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.0,0.603,0.003,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B29,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.0,90.44,0.0176,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B31,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.0,90.44,0.0176,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B33,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.0,90.44,0.0176,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B35.,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.1788617886178861,85.0,1.23,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B37,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.1788617886178861,85.0,1.23,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
