NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B15,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,2.01,259.26,0.0725,0.0,89.0,0.98,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B13,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,2.01,259.26,0.0725,0.0,89.0,0.98,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B11,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,2.01,259.26,0.0725,0.0,89.0,0.98,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B129,0.0315,10.0,115,54.3,87.5,rua,0.4,18.75,0.16,92.62,0.113,45.180487804878055,89.0,2.05,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B127,0.0315,10.0,115,54.3,87.5,rua,0.4,18.75,0.16,92.62,0.113,45.180487804878055,89.0,2.05,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B125,0.0315,10.0,115,54.3,87.5,rua,0.4,18.75,0.16,92.62,0.113,45.180487804878055,89.0,2.05,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B123,0.0315,3.74,115,54.3,87.5,rua,0.4,18.75,0.16,92.62,0.113,45.180487804878055,89.0,2.05,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B121,0.0315,3.74,115,54.3,87.5,rua,0.4,18.75,0.15,44.79,0.0546,44.79,89.0,1.0,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B120,0.0315,3.74,115,54.3,87.5,rua,0.4,18.75,0.15,44.79,0.0546,44.79,89.0,1.0,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B119,0.0315,3.74,115,54.3,87.5,rua,0.4,18.75,0.15,44.79,0.0546,44.79,89.0,1.0,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B113,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.42,73.60,0.0898,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B111,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.42,73.60,0.0898,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B109,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.60,1.201,0.601,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B107,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.60,1.201,0.601,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B105,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.60,1.201,0.601,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B103,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.60,1.201,0.601,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B101,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.61,55.66,0.0535,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
BB118,0.0618,3.74,115,54.3,87.5,rua,0.4,22.0,1.26,43.06,0.0356,0.6338235294117647,89.0,1.36,Normal,53.44,2.6,57.66,92.68123482483524,4.509191814082554,61.59,0.0,0.0,4.69,0.04
B99,0.0618,1.29,115,54.3,87.5,rua,0.4,18.75,1.61,55.66,0.0535,0.0,89.0,1.0,Normal,53.13,2.6,57.3,92.72251308900525,4.537521815008726,61.59,0.0,0.0,4.64,0.04
