NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,95,48.6,83.4,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,40.65,4.17,43.99,92.40736531029779,9.479427142532392,48.7,0.0,0.0,3.71,0.03
B139,0.0654,10.0,95,48.6,81.7,rua,0.6,18.75,0.42,710.20,0.0284,533.984962406015,85.0,1.33,Transbordamento,39.82,4.6,43.5,91.54022988505747,10.574712643678161,48.7,0.0,0.0,4.08,0.03
B141,0.0315,9.74,95,48.6,79.1,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,38.57,5.23,42.8,90.11682242990655,12.219626168224302,48.7,0.0,0.0,4.7,0.01
B142,0.0315,9.74,95,48.6,79.1,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,38.57,5.23,42.8,90.11682242990655,12.219626168224302,48.7,0.0,0.0,4.7,0.01
B144,0.0315,9.74,95,48.6,79.1,rua,0.4,18.75,0.16,26.34,0.027,14.797752808988763,85.0,1.78,Transbordamento,38.57,5.23,42.8,90.11682242990655,12.219626168224302,48.7,0.0,0.0,4.7,0.01
B145,0.0315,9.74,95,48.6,79.1,rua,0.4,18.75,0.16,26.34,0.027,14.797752808988763,85.0,1.78,Transbordamento,38.57,5.23,42.8,90.11682242990655,12.219626168224302,48.7,0.0,0.0,4.7,0.01
B146,0.0315,9.74,95,48.6,79.1,rua,0.4,18.75,0.22,39.51,0.0404,24.693749999999998,85.0,1.6,Transbordamento,38.57,5.23,42.8,90.11682242990655,12.219626168224302,48.7,0.0,0.0,4.7,0.01
B147,0.0315,9.74,95,48.6,79.1,rua,0.4,18.75,0.22,39.51,0.0404,24.693749999999998,85.0,1.6,Transbordamento,38.57,5.23,42.8,90.11682242990655,12.219626168224302,48.7,0.0,0.0,4.7,0.01
B148,0.0315,9.74,95,48.6,79.1,rua,0.4,18.75,0.22,39.51,0.0404,24.693749999999998,85.0,1.6,Transbordamento,38.57,5.23,42.8,90.11682242990655,12.219626168224302,48.7,0.0,0.0,4.7,0.01
B149,0.0618,9.74,95,48.6,83.0,rua,0.4,15.75,0.55,26.20,0.0271,0.08222222222222221,85.0,1.8,Normal,40.45,4.27,43.86,92.22526219790242,9.735522115823073,48.7,0.0,0.0,3.79,0.03
B108,0.0315,1.29,95,48.6,79.1,rua,0.4,18.75,1.35,0.951,0.351,0.0,85.0,1.0,Normal,38.54,5.25,42.71,90.23647857644579,12.29220323109342,48.7,0.0,0.0,4.63,0.01
B42,0.0315,1.0,95,48.6,79.1,rua,0.6,18.75,0.48,542.36,0.0496,451.9666666666667,85.0,1.2,Transbordamento,38.53,5.25,42.69,90.2553291168892,12.297962052002811,48.7,0.0,0.0,4.61,0.01
B40,0.0315,1.0,95,48.6,79.1,rua,0.6,18.75,0.39,449.09,0.0403,365.1138211382114,85.0,1.23,Transbordamento,38.53,5.25,42.69,90.2553291168892,12.297962052002811,48.7,0.0,0.0,4.61,0.01
B38,0.0315,1.0,95,48.6,79.1,rua,0.6,18.75,0.39,449.09,0.0403,365.1138211382114,85.0,1.23,Transbordamento,38.53,5.25,42.69,90.2553291168892,12.297962052002811,48.7,0.0,0.0,4.61,0.01
