NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,115,57.9,87.5,rua,0.4,18.75,0.17,62.11,0.0703,41.406666666666666,52.0,1.5,Transbordamento,51.11,3.64,54.41,93.9349384304356,6.689946700974087,58.39,0.0,0.0,3.67,0.04
B139,0.0654,10.0,115,57.9,87.5,rua,0.6,18.75,0.45,769.72,0.0356,578.7368421052631,52.0,1.33,Transbordamento,51.11,3.64,54.41,93.9349384304356,6.689946700974087,58.39,0.0,0.0,3.67,0.04
B141,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.17,62.11,0.0703,41.406666666666666,52.0,1.5,Transbordamento,51.14,3.62,54.46,93.90378259272862,6.647080426000734,58.39,0.0,0.0,3.69,0.02
B142,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.17,62.11,0.0703,41.406666666666666,52.0,1.5,Transbordamento,51.14,3.62,54.46,93.90378259272862,6.647080426000734,58.39,0.0,0.0,3.69,0.02
B144,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.20,30.30,0.0343,17.02247191011236,52.0,1.78,Transbordamento,51.14,3.62,54.46,93.90378259272862,6.647080426000734,58.39,0.0,0.0,3.69,0.02
B145,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.20,30.30,0.0343,17.02247191011236,52.0,1.78,Transbordamento,51.14,3.62,54.46,93.90378259272862,6.647080426000734,58.39,0.0,0.0,3.69,0.02
B146,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.26,45.44,0.0515,28.4,52.0,1.6,Transbordamento,51.14,3.62,54.46,93.90378259272862,6.647080426000734,58.39,0.0,0.0,3.69,0.02
B147,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.26,45.44,0.0515,28.4,52.0,1.6,Transbordamento,51.14,3.62,54.46,93.90378259272862,6.647080426000734,58.39,0.0,0.0,3.69,0.02
B148,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.26,45.44,0.0515,28.4,52.0,1.6,Transbordamento,51.14,3.62,54.46,93.90378259272862,6.647080426000734,58.39,0.0,0.0,3.69,0.02
B149,0.0618,9.74,115,57.9,87.5,rua,0.4,15.75,0.56,29.69,0.0336,0.08722222222222221,52.0,1.8,Normal,51.1,3.64,54.4,93.93382352941177,6.6911764705882355,58.39,0.0,0.0,3.66,0.03
B108,0.0315,1.29,115,57.9,87.5,rua,0.4,18.75,1.82,391.09,0.0685,0.0,52.0,1.0,Normal,51.09,3.65,54.38,93.94998161088635,6.712026480323647,58.39,0.0,0.0,3.66,0.02
B42,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.92,605.08,0.0627,0.26666666666666666,52.0,1.2,Normal,51.07,3.66,54.36,93.94775570272259,6.73289183222958,58.39,0.0,0.0,3.65,0.02
B40,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.46,495.09,0.0514,402.5121951219512,52.0,1.23,Transbordamento,51.07,3.66,54.36,93.94775570272259,6.73289183222958,58.39,0.0,0.0,3.65,0.02
B38,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.46,495.09,0.0514,402.5121951219512,52.0,1.23,Transbordamento,51.07,3.66,54.36,93.94775570272259,6.73289183222958,58.39,0.0,0.0,3.65,0.02
B36,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.46,495.09,0.0514,402.5121951219512,52.0,1.23,Transbordamento,51.07,3.66,54.36,93.94775570272259,6.73289183222958,58.39,0.0,0.0,3.65,0.02
B34,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,1.53,423.93,0.0514,0.0,52.0,1.0,Normal,51.07,3.66,54.36,93.94775570272259,6.73289183222958,58.39,0.0,0.0,3.65,0.02
