NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,45,31.9,83.4,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,26.68,3.53,28.12,94.87908961593172,12.55334281650071,31.9,0.0,0.0,1.6,0.02
B139,0.0654,10.0,45,31.9,81.7,rua,0.6,18.75,0.41,690.18,0.0181,518.9323308270676,85.0,1.33,Transbordamento,26.14,3.89,27.71,94.33417538794659,14.038253338145074,31.9,0.0,0.0,1.75,0.02
B141,0.0315,9.74,45,31.9,79.1,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,25.35,4.38,27.22,93.13005143277003,16.09110947832476,31.9,0.0,0.0,2.09,0.01
B142,0.0315,9.74,45,31.9,79.1,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,25.35,4.38,27.22,93.13005143277003,16.09110947832476,31.9,0.0,0.0,2.09,0.01
B144,0.0315,9.74,45,31.9,79.1,rua,0.4,18.75,0.15,25.23,0.0172,14.174157303370787,85.0,1.78,Transbordamento,25.35,4.38,27.22,93.13005143277003,16.09110947832476,31.9,0.0,0.0,2.09,0.01
B145,0.0315,9.74,45,31.9,79.1,rua,0.4,18.75,0.15,25.23,0.0172,14.174157303370787,85.0,1.78,Transbordamento,25.35,4.38,27.22,93.13005143277003,16.09110947832476,31.9,0.0,0.0,2.09,0.01
B146,0.0315,9.74,45,31.9,79.1,rua,0.4,18.75,0.20,37.85,0.0257,23.65625,85.0,1.6,Transbordamento,25.35,4.38,27.22,93.13005143277003,16.09110947832476,31.9,0.0,0.0,2.09,0.01
B147,0.0315,9.74,45,31.9,79.1,rua,0.4,18.75,0.20,37.85,0.0257,23.65625,85.0,1.6,Transbordamento,25.35,4.38,27.22,93.13005143277003,16.09110947832476,31.9,0.0,0.0,2.09,0.01
B148,0.0315,9.74,45,31.9,79.1,rua,0.4,18.75,0.20,37.85,0.0257,23.65625,85.0,1.6,Transbordamento,25.35,4.38,27.22,93.13005143277003,16.09110947832476,31.9,0.0,0.0,2.09,0.01
B149,0.0618,9.74,45,31.9,83.0,rua,0.4,15.75,0.58,25.05,0.0173,0.10055555555555555,85.0,1.8,Normal,26.53,3.61,27.99,94.78385137549125,12.897463379778493,31.9,0.0,0.0,1.62,0.02
