NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,30,13.9,83.4,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,11.8,2.3,11.82,99.83079526226734,19.4585448392555,13.9,0.0,0.0,0.02,0.01
B139,0.0654,10.0,30,13.9,81.7,rua,0.6,18.75,0.40,668.85,0.00758,502.89473684210526,85.0,1.33,Transbordamento,11.57,2.54,11.59,99.82743744607421,21.91544434857636,13.9,0.0,0.0,0.02,0.01
B141,0.0315,9.74,30,13.9,79.1,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B142,0.0315,9.74,30,13.9,79.1,rua,0.4,18.75,0.13,,,0.08666666666666667,85.0,1.5,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B144,0.0315,9.74,30,13.9,79.1,rua,0.4,18.75,0.14,,,0.07865168539325844,85.0,1.78,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B145,0.0315,9.74,30,13.9,79.1,rua,0.4,18.75,0.14,,,0.07865168539325844,85.0,1.78,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B146,0.0315,9.74,30,13.9,79.1,rua,0.4,18.75,0.19,,,0.11875,85.0,1.6,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B147,0.0315,9.74,30,13.9,79.1,rua,0.4,18.75,0.19,,,0.11875,85.0,1.6,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B148,0.0315,9.74,30,13.9,79.1,rua,0.4,18.75,0.19,,,0.11875,85.0,1.6,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B149,0.0618,9.74,30,13.9,83.0,rua,0.4,15.75,0.83,23.91,0.00725,0.23666666666666666,85.0,1.8,Normal,11.72,2.36,11.74,99.82964224872232,20.10221465076661,13.9,0.0,0.0,0.02,0.01
B108,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.09,335.87,0.0141,0.0,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.962399283795882,13.9,0.0,0.0,0.02,0.0
B42,0.0315,1.0,30,13.9,79.1,rua,0.6,18.75,0.45,501.60,0.013,418.00000000000006,85.0,1.2,Transbordamento,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B40,0.0315,1.0,30,13.9,79.1,rua,0.6,18.75,0.37,421.84,0.0105,342.9593495934959,85.0,1.23,Transbordamento,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B38,0.0315,1.0,30,13.9,79.1,rua,0.6,18.75,0.37,421.84,0.0105,342.9593495934959,85.0,1.23,Transbordamento,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B36,0.0315,1.0,30,13.9,79.1,rua,0.6,18.75,0.37,421.84,0.0105,342.9593495934959,85.0,1.23,Transbordamento,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B34,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.05,359.11,0.0105,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B32,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.05,359.11,0.0105,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B30,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.05,359.11,0.0105,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B9,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.16,206.95,0.014,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B7,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.01,0.609,0.009,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B5,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.01,0.609,0.009,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B3,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.01,0.609,0.009,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B1,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.01,0.609,0.009,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B23,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.40,267.77,0.014,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B21,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.40,267.77,0.014,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B19,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.40,267.77,0.014,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B17,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.40,267.77,0.014,0.0,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B15,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.16,206.95,0.014,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B13,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.16,206.95,0.014,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B11,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,1.16,206.95,0.014,0.0,85.0,0.98,Normal,11.13,2.9,11.14,99.91023339317773,26.032315978456012,13.9,0.0,0.0,0.01,0.0
B129,0.0315,10.0,30,13.9,79.1,rua,0.4,18.75,0.14,,,0.06829268292682929,85.0,2.05,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B127,0.0315,10.0,30,13.9,79.1,rua,0.4,18.75,0.14,,,0.06829268292682929,85.0,2.05,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B125,0.0315,10.0,30,13.9,79.1,rua,0.4,18.75,0.14,,,0.06829268292682929,85.0,2.05,Normal,11.26,2.89,11.29,99.73427812223207,25.597874224977858,13.9,0.0,0.0,0.04,0.0
B123,0.0315,3.74,30,13.9,79.1,rua,0.4,18.75,0.14,,,0.06829268292682929,85.0,2.05,Normal,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0
B121,0.0315,3.74,30,13.9,79.1,rua,0.4,18.75,0.10,,,0.1,85.0,1.0,Normal,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0
B120,0.0315,3.74,30,13.9,79.1,rua,0.4,18.75,0.10,,,0.1,85.0,1.0,Normal,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0
B119,0.0315,3.74,30,13.9,79.1,rua,0.4,18.75,0.10,,,0.1,85.0,1.0,Normal,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0
