NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,75,48.8,83.4,rua,0.4,18.75,0.15,,,0.09999999999999999,85.0,1.5,Normal,40.73,4.14,44.06,92.4421243758511,9.396277802995913,48.8,0.0,0.0,3.71,0.03
B139,0.0654,10.0,75,48.8,81.7,rua,0.6,18.75,0.43,734.78,0.0285,552.4661654135338,85.0,1.33,Transbordamento,39.9,4.57,43.57,91.57677300895111,10.488868487491395,48.8,0.0,0.0,4.08,0.03
B141,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.15,,,0.09999999999999999,85.0,1.5,Normal,38.66,5.21,42.89,90.13756120307764,12.147353695500117,48.8,0.0,0.0,4.7,0.01
B142,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.15,,,0.09999999999999999,85.0,1.5,Normal,38.66,5.21,42.89,90.13756120307764,12.147353695500117,48.8,0.0,0.0,4.7,0.01
B144,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.18,28.04,0.027,15.752808988764045,85.0,1.78,Transbordamento,38.66,5.21,42.89,90.13756120307764,12.147353695500117,48.8,0.0,0.0,4.7,0.01
B145,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.18,28.04,0.027,15.752808988764045,85.0,1.78,Transbordamento,38.66,5.21,42.89,90.13756120307764,12.147353695500117,48.8,0.0,0.0,4.7,0.01
B146,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.24,42.07,0.0405,26.29375,85.0,1.6,Transbordamento,38.66,5.21,42.89,90.13756120307764,12.147353695500117,48.8,0.0,0.0,4.7,0.01
B147,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.24,42.07,0.0405,26.29375,85.0,1.6,Transbordamento,38.66,5.21,42.89,90.13756120307764,12.147353695500117,48.8,0.0,0.0,4.7,0.01
B148,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.24,42.07,0.0405,26.29375,85.0,1.6,Transbordamento,38.66,5.21,42.89,90.13756120307764,12.147353695500117,48.8,0.0,0.0,4.7,0.01
B149,0.0618,9.74,75,48.8,83.0,rua,0.4,15.75,0.55,27.89,0.0271,0.08388888888888889,85.0,1.8,Normal,40.52,4.24,43.93,92.23765080810381,9.651718643296153,48.8,0.0,0.0,3.79,0.03
B108,0.0315,1.29,75,48.8,79.1,rua,0.4,18.75,1.50,351.56,0.0539,0.0,85.0,1.0,Normal,38.61,5.21,42.76,90.29466791393827,12.184284377923294,48.8,0.0,0.0,4.62,0.01
B42,0.0315,1.0,75,48.8,79.1,rua,0.6,18.75,0.50,566.29,0.0497,471.9083333333333,85.0,1.2,Transbordamento,38.6,5.21,42.74,90.31352363125878,12.189985961628452,48.8,0.0,0.0,4.6,0.01
B40,0.0315,1.0,75,48.8,79.1,rua,0.6,18.75,0.40,461.88,0.0404,375.5121951219512,85.0,1.23,Transbordamento,38.6,5.21,42.74,90.31352363125878,12.189985961628452,48.8,0.0,0.0,4.6,0.01
