NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,205,65.5,87.5,rua,0.4,18.75,0.16,61.40,0.0854,40.93333333333333,89.0,1.5,Transbordamento,60.97,2.72,66.07,92.28091418192827,4.116845769638263,69.66,0.0,0.0,5.67,0.04
B139,0.0654,10.0,205,65.5,87.5,rua,0.6,18.75,0.44,765.23,0.0432,575.3609022556391,89.0,1.33,Transbordamento,60.97,2.72,66.07,92.28091418192827,4.116845769638263,69.66,0.0,0.0,5.67,0.04
B141,0.0315,9.74,205,65.5,87.5,rua,0.4,18.75,0.16,61.40,0.0854,40.93333333333333,89.0,1.5,Transbordamento,60.99,2.72,66.1,92.2692889561271,4.114977307110439,69.66,0.0,0.0,5.68,0.02
B142,0.0315,9.74,205,65.5,87.5,rua,0.4,18.75,0.16,61.40,0.0854,40.93333333333333,89.0,1.5,Transbordamento,60.99,2.72,66.1,92.2692889561271,4.114977307110439,69.66,0.0,0.0,5.68,0.02
B144,0.0315,9.74,205,65.5,87.5,rua,0.4,18.75,0.20,29.96,0.0416,16.831460674157302,89.0,1.78,Transbordamento,60.99,2.72,66.1,92.2692889561271,4.114977307110439,69.66,0.0,0.0,5.68,0.02
B145,0.0315,9.74,205,65.5,87.5,rua,0.4,18.75,0.20,29.96,0.0416,16.831460674157302,89.0,1.78,Transbordamento,60.99,2.72,66.1,92.2692889561271,4.114977307110439,69.66,0.0,0.0,5.68,0.02
B146,0.0315,9.74,205,65.5,87.5,rua,0.4,18.75,0.25,44.94,0.0625,28.0875,89.0,1.6,Transbordamento,60.99,2.72,66.1,92.2692889561271,4.114977307110439,69.66,0.0,0.0,5.68,0.02
B147,0.0315,9.74,205,65.5,87.5,rua,0.4,18.75,0.25,44.94,0.0625,28.0875,89.0,1.6,Transbordamento,60.99,2.72,66.1,92.2692889561271,4.114977307110439,69.66,0.0,0.0,5.68,0.02
B148,0.0315,9.74,205,65.5,87.5,rua,0.4,18.75,0.25,44.94,0.0625,28.0875,89.0,1.6,Transbordamento,60.99,2.72,66.1,92.2692889561271,4.114977307110439,69.66,0.0,0.0,5.68,0.02
B149,0.0618,9.74,205,65.5,87.5,rua,0.4,15.75,0.56,29.34,0.0408,0.08666666666666667,89.0,1.8,Normal,60.96,2.72,66.06,92.27974568574024,4.117468967605207,69.66,0.0,0.0,5.67,0.04
B108,0.0315,1.29,205,65.5,87.5,rua,0.4,18.75,1.78,382.45,0.0832,0.0,89.0,1.0,Normal,60.95,2.72,66.05,92.27857683573052,4.1180923542770635,69.66,0.0,0.0,5.67,0.02
B42,0.0315,1.0,205,65.5,87.5,rua,0.6,18.75,1.06,603.73,0.0762,0.385,89.0,1.2,Normal,60.94,2.72,66.03,92.29138270483114,4.119339694078449,69.66,0.0,0.0,5.66,0.02
B40,0.0315,1.0,205,65.5,87.5,rua,0.6,18.75,0.44,486.49,0.0624,395.52032520325207,89.0,1.23,Transbordamento,60.94,2.72,66.03,92.29138270483114,4.119339694078449,69.66,0.0,0.0,5.66,0.02
B38,0.0315,1.0,205,65.5,87.5,rua,0.6,18.75,0.44,486.49,0.0624,395.52032520325207,89.0,1.23,Transbordamento,60.94,2.72,66.03,92.29138270483114,4.119339694078449,69.66,0.0,0.0,5.66,0.02
