NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,115,57.9,87.5,rua,0.4,18.75,0.16,61.11,0.0712,40.74,89.0,1.5,Transbordamento,51.11,2.61,55.07,92.80915198837843,4.739422553114218,58.39,0.0,0.0,4.4,0.04
B139,0.0654,10.0,115,57.9,87.5,rua,0.6,18.75,0.44,762.91,0.036,573.6165413533834,89.0,1.33,Transbordamento,51.11,2.61,55.07,92.80915198837843,4.739422553114218,58.39,0.0,0.0,4.4,0.04
B141,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.16,61.11,0.0712,40.74,89.0,1.5,Transbordamento,51.14,2.61,55.11,92.79622573035748,4.735982580293957,58.39,0.0,0.0,4.41,0.02
B142,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.16,61.11,0.0712,40.74,89.0,1.5,Transbordamento,51.14,2.61,55.11,92.79622573035748,4.735982580293957,58.39,0.0,0.0,4.41,0.02
B144,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.19,29.82,0.0347,16.752808988764045,89.0,1.78,Transbordamento,51.14,2.61,55.11,92.79622573035748,4.735982580293957,58.39,0.0,0.0,4.41,0.02
B145,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.19,29.82,0.0347,16.752808988764045,89.0,1.78,Transbordamento,51.14,2.61,55.11,92.79622573035748,4.735982580293957,58.39,0.0,0.0,4.41,0.02
B146,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.25,44.73,0.0521,27.956249999999997,89.0,1.6,Transbordamento,51.14,2.61,55.11,92.79622573035748,4.735982580293957,58.39,0.0,0.0,4.41,0.02
B147,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.25,44.73,0.0521,27.956249999999997,89.0,1.6,Transbordamento,51.14,2.61,55.11,92.79622573035748,4.735982580293957,58.39,0.0,0.0,4.41,0.02
B148,0.0315,9.74,115,57.9,87.5,rua,0.4,18.75,0.25,44.73,0.0521,27.956249999999997,89.0,1.6,Transbordamento,51.14,2.61,55.11,92.79622573035748,4.735982580293957,58.39,0.0,0.0,4.41,0.02
B149,0.0618,9.74,115,57.9,87.5,rua,0.4,15.75,0.55,29.19,0.034,0.08555555555555555,89.0,1.8,Normal,51.1,2.61,55.05,92.82470481380564,4.741144414168938,58.39,0.0,0.0,4.4,0.03
B108,0.0315,1.29,115,57.9,87.5,rua,0.4,18.75,1.76,380.76,0.0693,0.0,89.0,1.0,Normal,51.09,2.61,55.04,92.8234011627907,4.742005813953488,58.39,0.0,0.0,4.39,0.02
B42,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.89,605.13,0.0635,0.2383333333333333,89.0,1.2,Normal,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B40,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.43,494.70,0.052,402.1951219512195,89.0,1.23,Transbordamento,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B38,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.43,494.70,0.052,402.1951219512195,89.0,1.23,Transbordamento,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B36,0.0315,1.0,115,57.9,87.5,rua,0.6,18.75,0.43,494.70,0.052,402.1951219512195,89.0,1.23,Transbordamento,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B34,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,1.50,418.55,0.052,0.0,89.0,1.0,Normal,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B32,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,1.50,418.55,0.052,0.0,89.0,1.0,Normal,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B30,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,1.50,418.55,0.052,0.0,89.0,1.0,Normal,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B9,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,2.00,259.84,0.0693,0.0,89.0,0.98,Normal,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B7,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,1.58,144.00,0.0696,0.0,89.0,1.0,Normal,51.07,2.61,55.46,92.084385142445,4.706094482509917,58.39,0.0,0.0,4.39,0.02
B5,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,1.58,144.00,0.0696,0.0,89.0,1.0,Normal,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
B3,0.0315,1.0,115,57.9,87.5,rua,0.4,18.75,1.58,144.00,0.0696,0.0,89.0,1.0,Normal,51.07,2.61,55.02,92.82079243911305,4.7437295528898575,58.39,0.0,0.0,4.39,0.02
