NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,75,48.8,83.4,rua,0.4,18.75,0.16,61.05,0.057,40.699999999999996,52.0,1.5,Transbordamento,40.73,3.77,44.64,91.24103942652329,8.445340501792115,48.8,0.0,0.0,4.35,0.03
B139,0.0654,10.0,75,48.8,81.7,rua,0.6,18.75,0.44,758.89,0.0289,570.593984962406,52.0,1.33,Transbordamento,39.9,4.16,44.21,90.25107441755259,9.409635828997963,48.8,0.0,0.0,4.78,0.03
B141,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.16,61.05,0.057,40.699999999999996,52.0,1.5,Transbordamento,38.66,4.7,43.63,88.60875544350216,10.772404308961724,48.8,0.0,0.0,5.52,0.01
B142,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.16,61.05,0.057,40.699999999999996,52.0,1.5,Transbordamento,38.66,4.7,43.63,88.60875544350216,10.772404308961724,48.8,0.0,0.0,5.52,0.01
B144,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.19,29.65,0.0275,16.657303370786515,52.0,1.78,Transbordamento,38.66,4.7,43.63,88.60875544350216,10.772404308961724,48.8,0.0,0.0,5.52,0.01
B145,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.19,29.65,0.0275,16.657303370786515,52.0,1.78,Transbordamento,38.66,4.7,43.63,88.60875544350216,10.772404308961724,48.8,0.0,0.0,5.52,0.01
B146,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.25,44.47,0.0412,27.79375,52.0,1.6,Transbordamento,38.66,4.7,43.63,88.60875544350216,10.772404308961724,48.8,0.0,0.0,5.52,0.01
B147,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.25,44.47,0.0412,27.79375,52.0,1.6,Transbordamento,38.66,4.7,43.63,88.60875544350216,10.772404308961724,48.8,0.0,0.0,5.52,0.01
B148,0.0315,9.74,75,48.8,79.1,rua,0.4,18.75,0.25,44.47,0.0412,27.79375,52.0,1.6,Transbordamento,38.66,4.7,43.63,88.60875544350216,10.772404308961724,48.8,0.0,0.0,5.52,0.01
B149,0.0618,9.74,75,48.8,83.0,rua,0.4,15.75,0.56,29.26,0.0275,0.08666666666666667,52.0,1.8,Normal,40.52,3.87,44.52,91.01527403414195,8.692722371967655,48.8,0.0,0.0,4.44,0.03
B108,0.0315,1.29,75,48.8,79.1,rua,0.4,18.75,1.69,360.78,0.0548,0.0,52.0,1.0,Normal,38.61,4.81,43.47,88.81987577639751,11.065102369450194,48.8,0.0,0.0,5.4,0.01
B42,0.0315,1.0,75,48.8,79.1,rua,0.6,18.75,0.64,591.96,0.0504,0.0325,52.0,1.2,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B40,0.0315,1.0,75,48.8,79.1,rua,0.6,18.75,0.41,480.46,0.041,390.6178861788618,52.0,1.23,Transbordamento,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B38,0.0315,1.0,75,48.8,79.1,rua,0.6,18.75,0.41,480.46,0.041,390.6178861788618,52.0,1.23,Transbordamento,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B36,0.0315,1.0,75,48.8,79.1,rua,0.6,18.75,0.41,480.46,0.041,390.6178861788618,52.0,1.23,Transbordamento,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B34,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.47,414.15,0.041,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B32,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.47,414.15,0.041,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B30,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.47,414.15,0.041,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B9,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.92,246.30,0.0547,0.0,52.0,0.98,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B7,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.50,183.60,0.0551,0.0,52.0,1.0,Normal,38.6,4.83,43.98,87.76716689404276,10.982264665757164,48.8,0.0,0.0,5.38,0.01
B5,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.50,183.60,0.0551,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B3,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.50,183.60,0.0551,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B1,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.50,183.60,0.0551,0.0,52.0,1.0,Normal,38.6,4.83,43.98,87.76716689404276,10.982264665757164,48.8,0.0,0.0,5.38,0.01
B23,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,2.10,289.44,0.0549,0.0,52.0,1.0,Normal,38.6,4.83,43.98,87.76716689404276,10.982264665757164,48.8,0.0,0.0,5.38,0.01
B21,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,2.10,289.44,0.0549,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B19,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,2.10,289.44,0.0549,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B17,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,2.10,289.44,0.0549,0.0,52.0,1.0,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
B15,0.0315,1.0,75,48.8,79.1,rua,0.4,18.75,1.92,246.30,0.0547,0.0,52.0,0.98,Normal,38.6,4.83,43.44,88.85819521178638,11.11878453038674,48.8,0.0,0.0,5.38,0.01
