NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,115,54.3,40.0,rua,0.4,18.75,0.11,53.27,0.0526,35.513333333333335,52.0,1.5,Transbordamento,24.56,17.59,40.59,60.50751416605075,43.33579699433358,61.59,0.0,0.0,17.81,0.03
B139,0.0654,10.0,115,54.3,40.0,rua,0.6,18.75,0.41,681.19,0.0265,512.172932330827,52.0,1.33,Transbordamento,24.56,17.58,40.6,60.49261083743842,43.30049261083743,61.59,0.0,0.0,17.82,0.03
B141,0.0315,9.74,115,54.3,40.0,rua,0.4,18.75,0.11,53.27,0.0526,35.513333333333335,52.0,1.5,Transbordamento,24.59,17.5,40.89,60.136952800195644,42.797750061139645,61.59,0.0,0.0,18.1,0.01
B142,0.0315,9.74,115,54.3,40.0,rua,0.4,18.75,0.11,53.27,0.0526,35.513333333333335,52.0,1.5,Transbordamento,24.59,17.5,40.89,60.136952800195644,42.797750061139645,61.59,0.0,0.0,18.1,0.01
B144,0.0315,9.74,115,54.3,40.0,rua,0.4,18.75,0.12,26.83,0.0257,15.073033707865168,52.0,1.78,Transbordamento,24.59,17.5,40.89,60.136952800195644,42.797750061139645,61.59,0.0,0.0,18.1,0.01
B145,0.0315,9.74,115,54.3,40.0,rua,0.4,18.75,0.12,26.83,0.0257,15.073033707865168,52.0,1.78,Transbordamento,24.59,17.5,40.89,60.136952800195644,42.797750061139645,61.59,0.0,0.0,18.1,0.01
B146,0.0315,9.74,115,54.3,40.0,rua,0.4,18.75,0.17,40.25,0.0386,25.15625,52.0,1.6,Transbordamento,24.59,17.5,40.89,60.136952800195644,42.797750061139645,61.59,0.0,0.0,18.1,0.01
B147,0.0315,9.74,115,54.3,40.0,rua,0.4,18.75,0.17,40.25,0.0386,25.15625,52.0,1.6,Transbordamento,24.59,17.5,40.89,60.136952800195644,42.797750061139645,61.59,0.0,0.0,18.1,0.01
B148,0.0315,9.74,115,54.3,40.0,rua,0.4,18.75,0.17,40.25,0.0386,25.15625,52.0,1.6,Transbordamento,24.59,17.5,40.89,60.136952800195644,42.797750061139645,61.59,0.0,0.0,18.1,0.01
B149,0.0618,9.74,115,54.3,40.0,rua,0.4,15.75,0.54,24.33,0.025,0.07944444444444444,52.0,1.8,Normal,24.54,17.6,40.52,60.56268509378084,43.43534057255676,61.59,0.0,0.0,17.75,0.03
