NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,205,65.5,83.4,rua,0.4,18.75,0.15,59.20,0.0818,39.46666666666667,85.0,1.5,Transbordamento,58.12,4.57,64.04,90.75577763897563,7.1361648969394125,69.66,0.0,0.0,6.58,0.04
B139,0.0654,10.0,205,65.5,81.7,rua,0.6,18.75,0.43,746.00,0.0415,560.9022556390977,85.0,1.33,Transbordamento,56.93,5.04,63.46,89.71005357705641,7.942010715411282,69.66,0.0,0.0,7.25,0.04
B141,0.0315,9.74,205,65.5,79.1,rua,0.4,18.75,0.15,59.20,0.0818,39.46666666666667,85.0,1.5,Transbordamento,55.14,5.75,62.61,88.06899856252996,9.183836447851782,69.66,0.0,0.0,8.3,0.02
B142,0.0315,9.74,205,65.5,79.1,rua,0.4,18.75,0.15,59.20,0.0818,39.46666666666667,85.0,1.5,Transbordamento,55.14,5.75,62.61,88.06899856252996,9.183836447851782,69.66,0.0,0.0,8.3,0.02
B144,0.0315,9.74,205,65.5,79.1,rua,0.4,18.75,0.18,28.64,0.0394,16.089887640449437,85.0,1.78,Transbordamento,55.14,5.75,62.61,88.06899856252996,9.183836447851782,69.66,0.0,0.0,8.3,0.02
B145,0.0315,9.74,205,65.5,79.1,rua,0.4,18.75,0.18,28.64,0.0394,16.089887640449437,85.0,1.78,Transbordamento,55.14,5.75,62.61,88.06899856252996,9.183836447851782,69.66,0.0,0.0,8.3,0.02
B146,0.0315,9.74,205,65.5,79.1,rua,0.4,18.75,0.24,42.97,0.0592,26.85625,85.0,1.6,Transbordamento,55.14,5.75,62.61,88.06899856252996,9.183836447851782,69.66,0.0,0.0,8.3,0.02
B147,0.0315,9.74,205,65.5,79.1,rua,0.4,18.75,0.24,42.97,0.0592,26.85625,85.0,1.6,Transbordamento,55.14,5.75,62.61,88.06899856252996,9.183836447851782,69.66,0.0,0.0,8.3,0.02
B148,0.0315,9.74,205,65.5,79.1,rua,0.4,18.75,0.24,42.97,0.0592,26.85625,85.0,1.6,Transbordamento,55.14,5.75,62.61,88.06899856252996,9.183836447851782,69.66,0.0,0.0,8.3,0.02
B149,0.0618,9.74,205,65.5,83.0,rua,0.4,15.75,0.55,28.45,0.0395,0.08555555555555555,85.0,1.8,Normal,57.83,4.68,63.89,90.51494756612928,7.32508999843481,69.66,0.0,0.0,6.74,0.04
B108,0.0315,1.29,205,65.5,79.1,rua,0.4,18.75,1.61,1.214,0.614,0.0,85.0,1.0,Normal,55.1,5.75,62.55,88.08952837729817,9.192645883293366,69.66,0.0,0.0,8.27,0.02
B42,0.0315,1.0,205,65.5,79.1,rua,0.6,18.75,0.54,580.89,0.0726,484.075,85.0,1.2,Transbordamento,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B40,0.0315,1.0,205,65.5,79.1,rua,0.6,18.75,0.41,477.96,0.0591,388.5853658536585,85.0,1.23,Transbordamento,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B38,0.0315,1.0,205,65.5,79.1,rua,0.6,18.75,0.41,477.96,0.0591,388.5853658536585,85.0,1.23,Transbordamento,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B36,0.0315,1.0,205,65.5,79.1,rua,0.6,18.75,0.41,477.96,0.0591,388.5853658536585,85.0,1.23,Transbordamento,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B34,0.0315,1.0,205,65.5,79.1,rua,0.4,18.75,1.43,407.77,0.0591,0.0,85.0,1.0,Normal,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B32,0.0315,1.0,205,65.5,79.1,rua,0.4,18.75,1.43,407.77,0.0591,0.0,85.0,1.0,Normal,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B30,0.0315,1.0,205,65.5,79.1,rua,0.4,18.75,1.43,407.77,0.0591,0.0,85.0,1.0,Normal,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B9,0.0315,1.0,205,65.5,79.1,rua,0.4,18.75,1.85,246.22,0.0788,0.0,85.0,0.98,Normal,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B7,0.0315,1.0,205,65.5,79.1,rua,0.4,18.75,1.43,131.51,0.0793,0.0,85.0,1.0,Normal,55.1,5.75,63.36,86.96338383838385,9.075126262626263,69.66,0.0,0.0,8.26,0.02
B5,0.0315,1.0,205,65.5,79.1,rua,0.4,18.75,1.43,131.51,0.0793,0.0,85.0,1.0,Normal,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
B3,0.0315,1.0,205,65.5,79.1,rua,0.4,18.75,1.43,131.51,0.0793,0.0,85.0,1.0,Normal,55.1,5.75,62.53,88.11770350231889,9.195586118663043,69.66,0.0,0.0,8.26,0.02
